estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2015-01-01,4.6,16.7,7,11.1,7.3,7.39,-9999
M0001,2015-01-02,1.1,16.5,6.8,9.3,2.97,6.95,-9999
M0001,2015-01-03,0,15.8,5.2,9.9,5.93,14.83,-9999
M0001,2015-01-04,0,16,6.6,10.1,9.35,14.23,-9999
M0001,2015-01-05,0,14.4,5.7,9.2,5.74,15.31,-9999
M0001,2015-01-06,0,15.1,5,9.1,2.77,14.71,-9999
M0001,2015-01-07,0,16.3,6,10.8,2.39,6.65,-9999
M0001,2015-01-08,7.8,15.5,6.6,10.7,10.44,6.37,-9999
M0001,2015-01-09,0.2,12.6,7,9.5,5.85,16.12,-9999
M0001,2015-01-10,0.3,15.6,7,10.8,8.15,12.82,-9999
M0001,2015-01-11,0,17,6.8,10.8,6.55,6.36,-9999
M0001,2015-01-12,0,16.3,6.8,10.8,5.88,5.45,-9999
M0001,2015-01-13,10.5,17.9,6.3,11.7,4.8,5.17,-9999
M0001,2015-01-14,32,18.2,7,12,1.9,6.65,-9999
M0001,2015-01-15,11,17,7,11.4,2.66,0.84,-9999
M0001,2015-01-16,4.6,14.5,6.9,10,6.57,13.79,-9999
M0001,2015-01-17,0.2,12.2,7.5,9.3,1.96,16.53,-9999
M0001,2015-01-18,0,14.5,7,9,1.91,12.39,-9999
M0001,2015-01-19,0,13.5,7.4,10,2.78,12.62,-9999
M0001,2015-01-20,0,15.1,7.5,10.3,3.4,1.02,-9999
M0001,2015-01-21,0,13.4,6.8,9.6,5.29,3.51,-9999
M0001,2015-01-22,0,15.3,7.8,10.2,6.41,10.63,-9999
M0001,2015-01-23,0,15.5,7.6,11,8.44,4.72,-9999
M0001,2015-01-24,8.1,15.2,7.4,10.8,2.77,1.34,-9999
M0001,2015-01-25,1.9,14.2,7.7,10.2,2.99,2.55,-9999
M0001,2015-01-26,19.8,15,7.5,9.9,10.49,8.58,-9999
M0001,2015-01-27,16.6,15.9,7.9,11.2,9.92,4.01,-9999
M0001,2015-01-28,2,15.7,6.8,10.7,6.63,7.66,-9999
M0001,2015-01-29,5,13.8,5.6,10.2,10.7,3.57,-9999
M0001,2015-01-30,3.7,15.6,7,11.2,10.67,14.28,-9999
M0001,2015-01-31,0.5,14.5,5.8,10.1,3.36,7.35,-9999
